Well,Compound,Concentration_uM,RawSignal_RFU,Efficacy_Percent
A01,DMSO,0.0000,12000,0.00
A02,IMIDACLOPRID,10.0000,11958,0.00
A03,IMIDACLOPRID,3.1600,12038,0.00
A04,IMIDACLOPRID,1.0000,12055,0.00
A05,IMIDACLOPRID,0.3160,11612,2.20
A06,IMIDACLOPRID,0.1000,11734,2.46
A07,IMIDACLOPRID,0.0316,11810,0.56
A08,IMIDACLOPRID,10.0000,12006,0.00
A09,IMIDACLOPRID,3.1600,11887,0.00
A10,IMIDACLOPRID,1.0000,11648,2.38
A11,QC (Control),10.0000,2900,76.08
A12,Standard (GABA),10.0000,1477,88.70
B01,DMSO,0.0000,11967,0.33
B02,IMIDACLOPRID,10.0000,11817,1.90
B03,IMIDACLOPRID,3.1600,11878,0.00
B04,IMIDACLOPRID,1.0000,11749,2.22
B05,IMIDACLOPRID,0.3160,11879,0.00
B06,IMIDACLOPRID,0.1000,11935,0.00
B07,IMIDACLOPRID,0.0316,11918,0.92
B08,IMIDACLOPRID,10.0000,11706,1.77
B09,IMIDACLOPRID,3.1600,11921,0.00
B10,IMIDACLOPRID,1.0000,11827,1.29
B11,QC (Control),3.1600,5830,51.56
B12,Standard (GABA),3.1600,3670,70.13
C01,DMSO,0.0000,11975,0.25
C02,CYPERMETHRIN,10.0000,3650,70.48
C03,CYPERMETHRIN,3.1600,6586,44.76
C04,CYPERMETHRIN,1.0000,9603,20.02
C05,CYPERMETHRIN,0.3160,10948,9.49
C06,CYPERMETHRIN,0.1000,11575,3.63
C07,CYPERMETHRIN,0.0316,11972,1.20
C08,CYPERMETHRIN,10.0000,3360,71.54
C09,CYPERMETHRIN,3.1600,6804,42.60
C10,CYPERMETHRIN,1.0000,9911,17.25
C11,QC (Control),1.0000,8854,25.79
C12,Standard (GABA),1.0000,6762,43.02
D01,DMSO,0.0000,11844,1.56
D02,CYPERMETHRIN,10.0000,3332,72.45
D03,CYPERMETHRIN,3.1600,6548,45.75
D04,CYPERMETHRIN,1.0000,9478,21.74
D05,CYPERMETHRIN,0.3160,11067,6.93
D06,CYPERMETHRIN,0.1000,11833,1.74
D07,CYPERMETHRIN,0.0316,11831,1.60
D08,CYPERMETHRIN,10.0000,3630,69.87
D09,CYPERMETHRIN,3.1600,6954,43.03
D10,CYPERMETHRIN,1.0000,9486,21.41
D11,QC (Control),0.3160,10880,8.82
D12,Standard (GABA),0.3160,9827,18.55
E01,DMSO,0.0000,12000,0.00
E02,MILBEMYCIN OXIME,10.0000,1366,87.99
E03,MILBEMYCIN OXIME,3.1600,3302,72.43
E04,MILBEMYCIN OXIME,1.0000,6851,43.32
E05,MILBEMYCIN OXIME,0.3160,9932,17.45
E06,MILBEMYCIN OXIME,0.1000,11060,7.21
E07,MILBEMYCIN OXIME,0.0316,11480,4.54
E08,MILBEMYCIN OXIME,10.0000,1383,89.27
E09,MILBEMYCIN OXIME,3.1600,3420,71.07
E10,MILBEMYCIN OXIME,1.0000,7066,41.03
E11,QC (Control),0.1000,11734,2.04
E12,Standard (GABA),0.1000,10803,9.61
F01,DMSO,0.0000,12000,0.00
F02,MILBEMYCIN OXIME,10.0000,1592,87.58
F03,MILBEMYCIN OXIME,3.1600,3720,69.31
F04,MILBEMYCIN OXIME,1.0000,7103,40.50
F05,MILBEMYCIN OXIME,0.3160,9723,18.28
F06,MILBEMYCIN OXIME,0.1000,11134,7.19
F07,MILBEMYCIN OXIME,0.0316,11547,3.29
F08,MILBEMYCIN OXIME,10.0000,1475,87.02
F09,MILBEMYCIN OXIME,3.1600,3729,69.04
F10,MILBEMYCIN OXIME,1.0000,6789,42.52
F11,QC (Control),0.0316,11937,0.00
F12,Standard (GABA),0.0316,11627,3.55
G01,DMSO,0.0000,12000,0.00
G02,FIPRONIL,10.0000,3077,73.87
G03,FIPRONIL,3.1600,6402,46.46
G04,FIPRONIL,1.0000,9846,17.63
G05,FIPRONIL,0.3160,11088,7.98
G06,FIPRONIL,0.1000,11676,2.59
G07,FIPRONIL,0.0316,11898,1.05
G08,FIPRONIL,10.0000,3653,69.29
G09,FIPRONIL,3.1600,6941,42.79
G10,FIPRONIL,1.0000,9743,19.82
G11,QC (Control),10.0000,2765,77.62
G12,Standard (GABA),10.0000,1019,90.78
H01,DMSO,0.0000,11946,0.54
H02,FIPRONIL,10.0000,3406,72.36
H03,FIPRONIL,3.1600,6745,43.21
H04,FIPRONIL,1.0000,9555,21.02
H05,FIPRONIL,0.3160,11113,6.55
H06,FIPRONIL,0.1000,11418,4.64
H07,FIPRONIL,0.0316,11980,0.87
H08,FIPRONIL,10.0000,3387,72.26
H09,FIPRONIL,3.1600,6895,42.63
H10,FIPRONIL,1.0000,9419,20.94
H11,QC (Control),3.1600,5953,51.39
H12,Standard (GABA),3.1600,3233,72.56
